,Evaluator 1,Evaluator 2,Evaluator 3
,,,
topics,labels,labels,labels
0,christian religion,christ,God & Christ
1,noise,noise,noise
2,noise,noise,noise
3,kingship-military,warfare,Emperor/Caesar and arms 
4,kingship-christian religion,religion,Emperor + Christ 
5,crime,crime,Crime
6,family,family,Familiar ties
7,grief,violence,Crime & heresy 
8,feast,food and wine,Banquet
9,kingship-religion,divine power,God/Sun ruler of the world
10,Sodom,Sodom, Sin & punishment
11,christian religion,religion,"Martyrdom, christ"
12,love,love,love
13,kingship,kingship,King & Queen 
14,education,education,noise
15,Joseph's dreams,Joseph's dreams,Joseph's dreams
16,feast,feast, Acolastus + interjections
17,grief,grief,Samson & Delilah
18,noise,noise,noise
19,crime,crime,(Divine) punishment
20,noise,noise,noise
21,family,family,Hermenigildus + battle between brothers
22,religion,christ,Christ + Emperor
23,kingship - christian religion,kingship,kingship
24,life/death,life and death,"God, life & death "
25,noise,noise,noise
26,joy,joy,Love + its pleasures
27,family,family,Joseph & his brothers 
28,feast,feast,Hospitality
29,Prodigal son,Prodigal,Prodigal Son
